Institution Name,Students enrolled exclusively in distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled in some but not all distance education courses (EF2018A_DIST  Undergraduate total),Student not enrolled in any distance education courses (EF2018A_DIST  Undergraduate total),Students enrolled exclusively in distance education courses (EF2018A_DIST  Graduate),Students enrolled in some but not all distance education courses (EF2018A_DIST  Graduate),Student not enrolled in any distance education courses (EF2018A_DIST  Graduate),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2017A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2017A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2016A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2016A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2015A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2015A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2014A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2014A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2013A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2013A_DIST_RV  Graduate),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Undergraduate total),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Undergraduate total),Students enrolled exclusively in distance education courses (EF2012A_DIST_RV  Graduate),Students enrolled in some but not all distance education courses (EF2012A_DIST_RV  Graduate),Student not enrolled in any distance education courses (EF2012A_DIST_RV  Graduate)
Atlantic Cape Community College,620,1237,3116,NA,NA,NA,684,1256,3588,NA,NA,NA,636,1348,3921,NA,NA,NA,687,1345,4329,NA,NA,NA,663,1389,4793,NA,NA,NA,658,1399,5197,NA,NA,NA,676,1457,5390,NA,NA,NA
Atlantic Institute of Oriental Medicine,NA,NA,35,NA,NA,99,NA,NA,43,NA,NA,107,NA,NA,39,NA,NA,105,NA,NA,35,NA,NA,123,NA,NA,23,NA,NA,116,NA,NA,27,NA,NA,115,NA,NA,18,NA,NA,138
Atlantic Technical College,67,31,3893,NA,NA,NA,68,27,3812,NA,NA,NA,39,18,2680,NA,NA,NA,41,11,3080,NA,NA,NA,5,0,2594,NA,NA,NA,NA,NA,902,NA,NA,NA,NA,NA,875,NA,NA,NA
Atlantic University College,NA,NA,1581,NA,NA,102,NA,NA,1540,NA,NA,111,NA,NA,1478,NA,NA,78,NA,NA,1459,NA,NA,89,NA,NA,1425,NA,NA,71,NA,NA,1365,NA,NA,64,NA,NA,1349,NA,NA,67
Atlantis University,20,0,164,28,0,129,14,0,183,22,0,148,13,15,121,10,12,36,15,10,113,25,8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Auburn Career Center,NA,NA,138,NA,NA,NA,NA,NA,98,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,194,NA,NA,NA,NA,NA,167,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,215,NA,NA,NA
Auburn University,303,5197,19128,1205,392,4215,124,4634,19206,1136,376,4300,111,3926,18621,1098,319,4215,101,2983,18702,1042,314,4145,56,2714,17859,898,268,4117,29,1821,17949,641,119,4305,29,1117,19029,654,111,4194
Auburn University at Montgomery,371,1708,2553,239,165,175,253,1374,2686,150,142,289,174,1207,2892,151,127,327,159,1130,2968,146,134,382,182,1040,3155,115,168,397,206,1382,2746,161,265,336,151,858,3231,93,224,448
Augsburg University,6,118,2219,40,15,1021,12,159,2256,40,15,1080,26,169,2336,43,12,1035,31,102,2341,45,13,926,26,99,2474,44,3,882,16,76,2624,33,3,910,24,70,2736,97,2,716
Augusta School of Massage,NA,NA,29,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,21,NA,NA,NA,0,0,48,NA,NA,NA,0,0,64,NA,NA,NA,0,0,76,NA,NA,NA
Augusta Technical College,219,610,3580,NA,NA,NA,219,641,3735,NA,NA,NA,211,638,3521,NA,NA,NA,204,767,3519,NA,NA,NA,183,850,3236,NA,NA,NA,158,836,3385,NA,NA,NA,178,837,3324,NA,NA,NA
Augusta University,136,1592,3735,255,698,2042,146,1113,4032,193,493,2243,88,1333,3712,151,500,2154,97,1017,3862,157,663,1944,58,1081,4086,96,524,2143,73,40,5541,92,205,2517,NA,NA,NA,NA,NA,NA
Augustana College,0,0,2543,NA,NA,NA,0,0,2647,NA,NA,NA,0,0,2537,NA,NA,NA,0,0,2478,NA,NA,NA,NA,NA,2497,NA,NA,NA,NA,NA,2524,NA,NA,NA,NA,NA,2551,NA,NA,NA
Augustana University,0,0,1807,274,0,52,0,0,1749,288,0,43,0,0,1665,240,0,32,0,50,1563,203,21,0,0,0,1671,135,0,17,0,0,1697,48,0,20,0,0,1793,29,0,17
Auguste Escoffier School of Culinary Arts-Austin,NA,NA,506,NA,NA,NA,NA,NA,490,NA,NA,NA,NA,NA,385,NA,NA,NA,NA,NA,304,NA,NA,NA,0,0,294,NA,NA,NA,NA,NA,261,NA,NA,NA,0,0,91,NA,NA,NA
Auguste Escoffier School of Culinary Arts-Boulder,2026,0,263,NA,NA,NA,831,0,233,NA,NA,NA,388,0,310,NA,NA,NA,60,0,309,NA,NA,NA,0,0,382,NA,NA,NA,0,0,351,NA,NA,NA,0,0,103,NA,NA,NA
Aultman College of Nursing and Health Sciences,3,85,255,NA,NA,NA,1,113,280,NA,NA,NA,5,105,281,NA,NA,NA,0,19,353,NA,NA,NA,NA,NA,358,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,343,NA,NA,NA
Aurora University,365,60,3595,517,132,1336,349,119,3465,347,193,1360,304,150,3342,238,61,1548,211,128,3241,225,65,1553,116,0,3088,140,0,1740,56,81,3109,52,32,1616,0,77,2917,0,19,1668
Austin College,NA,NA,1280,NA,NA,19,NA,NA,1214,NA,NA,14,NA,NA,1262,NA,NA,16,NA,NA,1238,NA,NA,17,NA,NA,1278,NA,NA,23,NA,NA,1207,NA,NA,16,NA,NA,1242,NA,NA,18
Austin Community College District,4760,6988,29051,NA,NA,NA,4669,6553,29581,NA,NA,NA,4211,6153,31179,NA,NA,NA,4187,5709,31678,NA,NA,NA,3943,5647,31359,NA,NA,NA,3826,5590,32211,NA,NA,NA,3665,5928,33722,NA,NA,NA
Austin Graduate School of Theology,7,4,15,NA,NA,11,5,4,13,NA,NA,14,5,2,13,NA,NA,21,3,3,16,NA,NA,22,1,2,14,NA,NA,23,NA,NA,28,NA,NA,32,NA,NA,38,NA,NA,29
Austin Kade Academy,NA,NA,102,NA,NA,NA,NA,NA,115,NA,NA,NA,NA,NA,119,NA,NA,NA,NA,NA,196,NA,NA,NA,0,0,193,NA,NA,NA,0,0,193,NA,NA,NA,0,0,147,NA,NA,NA
Austin Peay State University,1324,3858,4689,613,223,247,1161,3010,5420,495,158,219,1291,2975,5247,492,158,181,1262,3246,4676,513,202,200,1258,3207,4781,487,191,187,1358,3232,4960,470,170,209,1429,3267,5039,451,153,258
Austin Presbyterian Theological Seminary,NA,NA,NA,NA,NA,151,NA,NA,NA,NA,NA,158,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,140,NA,NA,NA,NA,NA,140
Austin's Beauty College Inc,NA,NA,12,NA,NA,NA,NA,NA,23,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Automeca Technical College-Aguadilla,NA,NA,203,NA,NA,NA,NA,NA,211,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,235,NA,NA,NA,0,0,348,NA,NA,NA,0,0,211,NA,NA,NA,0,0,188,NA,NA,NA
Automeca Technical College-Bayamon,NA,NA,377,NA,NA,NA,NA,NA,528,NA,NA,NA,NA,NA,554,NA,NA,NA,NA,NA,444,NA,NA,NA,0,0,687,NA,NA,NA,0,0,579,NA,NA,NA,0,0,728,NA,NA,NA
Automeca Technical College-Caguas,NA,NA,135,NA,NA,NA,NA,NA,190,NA,NA,NA,NA,NA,189,NA,NA,NA,NA,NA,169,NA,NA,NA,0,0,263,NA,NA,NA,0,0,244,NA,NA,NA,0,0,295,NA,NA,NA
Automeca Technical College-Ponce,NA,NA,235,NA,NA,NA,NA,NA,230,NA,NA,NA,NA,NA,245,NA,NA,NA,NA,NA,210,NA,NA,NA,0,0,289,NA,NA,NA,0,0,217,NA,NA,NA,0,0,267,NA,NA,NA
Automotive Training Center-Exton,NA,NA,290,NA,NA,NA,NA,NA,304,NA,NA,NA,NA,NA,349,NA,NA,NA,NA,NA,353,NA,NA,NA,0,0,372,NA,NA,NA,0,0,354,NA,NA,NA,0,0,358,NA,NA,NA
Automotive Training Center-Warminster,NA,NA,304,NA,NA,NA,NA,NA,285,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,NA,256,NA,NA,NA,0,0,319,NA,NA,NA,0,0,291,NA,NA,NA,0,0,353,NA,NA,NA
Autry Technology Center,NA,NA,709,NA,NA,NA,NA,NA,722,NA,NA,NA,NA,NA,600,NA,NA,NA,NA,NA,528,NA,NA,NA,NA,NA,572,NA,NA,NA,NA,NA,543,NA,NA,NA,NA,NA,589,NA,NA,NA
Avalon School of Cosmetology,NA,NA,25,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,29,NA,NA,NA,NA,NA,33,NA,NA,NA,0,0,52,NA,NA,NA
Avalon School of Cosmetology-Alameda,NA,NA,118,NA,NA,NA,NA,NA,125,NA,NA,NA,NA,NA,120,NA,NA,NA,NA,NA,135,NA,NA,NA,0,0,253,NA,NA,NA,0,0,186,NA,NA,NA,0,0,115,NA,NA,NA
Avalon School of Cosmetology-Layton,NA,NA,140,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,121,NA,NA,NA,0,0,165,NA,NA,NA,0,0,172,NA,NA,NA,0,0,147,NA,NA,NA
Avalon School of Cosmetology-Mesa,NA,NA,356,NA,NA,NA,NA,NA,298,NA,NA,NA,NA,NA,286,NA,NA,NA,NA,NA,333,NA,NA,NA,0,0,360,NA,NA,NA,0,0,273,NA,NA,NA,0,0,312,NA,NA,NA
Avalon School of Cosmetology-Phoenix,NA,NA,330,NA,NA,NA,NA,NA,342,NA,NA,NA,NA,NA,278,NA,NA,NA,NA,NA,327,NA,NA,NA,0,0,318,NA,NA,NA,0,0,233,NA,NA,NA,0,0,236,NA,NA,NA
Ave Maria School of Law,NA,NA,NA,0,25,225,NA,NA,NA,0,13,228,NA,NA,NA,0,22,226,NA,NA,NA,0,21,248,NA,NA,NA,0,0,269,NA,NA,NA,0,6,313,NA,NA,NA,0,6,385
Ave Maria University,1,0,1086,1,0,34,11,23,1038,0,0,41,0,42,1014,0,0,44,0,15,1055,0,0,40,0,0,1028,0,0,53,0,0,906,0,0,82,NA,NA,882,NA,NA,94
Aveda Fredric's Institute-Cincinnati,NA,NA,261,NA,NA,NA,NA,NA,213,NA,NA,NA,NA,NA,211,NA,NA,NA,NA,NA,211,NA,NA,NA,0,0,226,NA,NA,NA,0,0,212,NA,NA,NA,0,0,158,NA,NA,NA
Aveda Fredric's Institute-Indianapolis,NA,NA,211,NA,NA,NA,NA,NA,216,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,228,NA,NA,NA,NA,NA,218,NA,NA,NA,NA,NA,208,NA,NA,NA,0,0,132,NA,NA,NA
Aveda Institute Portland-Vancouver Campus,NA,NA,121,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,129,NA,NA,NA,NA,NA,109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aveda Institute-Baton Rouge,NA,NA,131,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,146,NA,NA,NA,NA,NA,152,NA,NA,NA,0,0,210,NA,NA,NA,0,0,226,NA,NA,NA,0,0,229,NA,NA,NA
Aveda Institute-Boise,NA,NA,54,NA,NA,NA,NA,NA,62,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,56,NA,NA,NA,0,0,58,NA,NA,NA,0,0,67,NA,NA,NA,0,0,59,NA,NA,NA
Aveda Institute-Chapel Hill,NA,NA,207,NA,NA,NA,NA,NA,254,NA,NA,NA,NA,NA,240,NA,NA,NA,NA,NA,231,NA,NA,NA,0,0,180,NA,NA,NA,0,0,156,NA,NA,NA,0,0,210,NA,NA,NA
Aveda Institute-Chicago,NA,NA,107,NA,NA,NA,NA,NA,113,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,192,NA,NA,NA,0,0,169,NA,NA,NA,0,0,183,NA,NA,NA,NA,NA,219,NA,NA,NA
Aveda Institute-Columbus,NA,NA,256,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,285,NA,NA,NA,0,0,287,NA,NA,NA,0,0,271,NA,NA,NA,0,0,260,NA,NA,NA
Aveda Institute-Covington,NA,NA,2357,NA,NA,NA,NA,NA,2265,NA,NA,NA,NA,NA,2415,NA,NA,NA,NA,NA,2070,NA,NA,NA,0,0,1587,NA,NA,NA,0,0,1707,NA,NA,NA,NA,NA,1547,NA,NA,NA
Aveda Institute-Denver,NA,NA,384,NA,NA,NA,NA,NA,417,NA,NA,NA,NA,NA,391,NA,NA,NA,NA,NA,387,NA,NA,NA,0,0,440,NA,NA,NA,0,0,485,NA,NA,NA,0,0,449,NA,NA,NA
Aveda Institute-Des Moines,NA,NA,147,NA,NA,NA,NA,NA,138,NA,NA,NA,NA,NA,153,NA,NA,NA,NA,NA,183,NA,NA,NA,0,0,199,NA,NA,NA,0,0,213,NA,NA,NA,NA,NA,230,NA,NA,NA
Aveda Institute-Lafayette,NA,NA,160,NA,NA,NA,NA,NA,143,NA,NA,NA,NA,NA,149,NA,NA,NA,NA,NA,149,NA,NA,NA,0,0,91,NA,NA,NA,0,0,116,NA,NA,NA,0,0,102,NA,NA,NA
Aveda Institute-Los Angeles,NA,NA,179,NA,NA,NA,NA,NA,159,NA,NA,NA,NA,NA,185,NA,NA,NA,NA,NA,152,NA,NA,NA,0,0,166,NA,NA,NA,0,0,175,NA,NA,NA,0,0,196,NA,NA,NA
Aveda Institute-Madison,NA,NA,102,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,84,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aveda Institute-Maryland,NA,NA,32,NA,NA,NA,NA,NA,37,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,73,NA,NA,NA,0,0,66,NA,NA,NA,0,0,55,NA,NA,NA,0,0,58,NA,NA,NA
Aveda Institute-Minneapolis,NA,NA,412,NA,NA,NA,NA,NA,443,NA,NA,NA,NA,NA,451,NA,NA,NA,NA,NA,487,NA,NA,NA,0,0,515,NA,NA,NA,0,0,489,NA,NA,NA,0,0,616,NA,NA,NA
Aveda Institute-New Mexico,NA,NA,90,NA,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,122,NA,NA,NA,NA,NA,182,NA,NA,NA,0,0,135,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,175,NA,NA,NA
Aveda Institute-New York,NA,NA,210,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,196,NA,NA,NA,NA,NA,203,NA,NA,NA,0,0,229,NA,NA,NA,NA,NA,238,NA,NA,NA,0,0,147,NA,NA,NA
Aveda Institute-Phoenix,NA,NA,141,NA,NA,NA,NA,NA,154,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,152,NA,NA,NA,0,0,176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aveda Institute-Portland,NA,NA,244,NA,NA,NA,NA,NA,267,NA,NA,NA,NA,NA,277,NA,NA,NA,NA,NA,249,NA,NA,NA,0,0,361,NA,NA,NA,0,0,348,NA,NA,NA,0,0,339,NA,NA,NA
Aveda Institute-Provo,NA,NA,120,NA,NA,NA,NA,NA,118,NA,NA,NA,NA,NA,102,NA,NA,NA,NA,NA,121,NA,NA,NA,0,0,152,NA,NA,NA,0,0,179,NA,NA,NA,0,0,94,NA,NA,NA
Aveda Institute-San Antonio,NA,NA,237,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,187,NA,NA,NA,NA,NA,236,NA,NA,NA,0,0,285,NA,NA,NA,0,0,303,NA,NA,NA,0,0,309,NA,NA,NA
Aveda Institute-South Florida,NA,NA,379,NA,NA,NA,NA,NA,450,NA,NA,NA,NA,NA,471,NA,NA,NA,NA,NA,520,NA,NA,NA,0,0,580,NA,NA,NA,0,0,619,NA,NA,NA,NA,NA,821,NA,NA,NA
Aveda Institute-Tallahassee,NA,NA,484,NA,NA,NA,NA,NA,513,NA,NA,NA,NA,NA,496,NA,NA,NA,NA,NA,544,NA,NA,NA,0,0,572,NA,NA,NA,0,0,666,NA,NA,NA,0,0,519,NA,NA,NA
Aveda Institute-Tucson,NA,NA,157,NA,NA,NA,NA,NA,148,NA,NA,NA,NA,NA,175,NA,NA,NA,NA,NA,157,NA,NA,NA,0,0,136,NA,NA,NA,0,0,118,NA,NA,NA,0,0,109,NA,NA,NA
Aveda Institute-Twin Falls,NA,NA,58,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,50,NA,NA,NA,NA,NA,70,NA,NA,NA,0,NA,67,NA,NA,NA,0,0,57,NA,NA,NA,0,0,54,NA,NA,NA
Avenue Academy  A Cosmetology Institute,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Avenue Five Institute,NA,NA,297,NA,NA,NA,NA,NA,295,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,203,NA,NA,NA,0,0,236,NA,NA,NA,0,0,241,NA,NA,NA,0,0,241,NA,NA,NA
Avera McKennan Hospital School of Radiologic Technology,NA,NA,23,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,20,NA,NA,NA,0,0,20,NA,NA,NA,NA,NA,20,NA,NA,NA
Avera Sacred Heart Hospital,NA,NA,15,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,17,NA,NA,NA,NA,NA,17,NA,NA,NA,0,0,18,NA,NA,NA,0,0,18,NA,NA,NA,0,0,18,NA,NA,NA
Averett University,3,225,733,NA,NA,NA,0,188,739,NA,NA,NA,0,163,696,NA,NA,NA,1,129,744,1,0,3,0,89,763,1,4,15,0,54,823,0,9,20,0,43,849,0,6,16
Averett University-Non-Traditional Programs,269,17,6,279,5,36,303,20,21,262,26,27,411,34,45,261,37,59,441,92,77,195,68,118,381,132,189,167,40,209,285,215,290,96,9,326,71,0,815,0,0,517
Avery James School of Cosmetology,NA,NA,37,NA,NA,NA,NA,NA,76,NA,NA,NA,NA,NA,44,NA,NA,NA,NA,NA,44,NA,NA,NA,0,0,36,NA,NA,NA,0,0,58,NA,NA,NA,0,0,46,NA,NA,NA
Avi Career Training,NA,NA,25,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,21,NA,NA,NA,0,21,0,NA,NA,NA,0,0,23,NA,NA,NA,0,0,36,NA,NA,NA
Aviation Institute of Maintenance,NA,NA,238,NA,NA,NA,NA,NA,168,NA,NA,NA,NA,NA,174,NA,NA,NA,NA,NA,164,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aviation Institute of Maintenance-Atlanta,NA,NA,768,NA,NA,NA,NA,NA,707,NA,NA,NA,NA,NA,702,NA,NA,NA,NA,NA,611,NA,NA,NA,0,0,566,NA,NA,NA,0,0,542,NA,NA,NA,0,0,558,NA,NA,NA
Aviation Institute of Maintenance-Chesapeake,NA,NA,239,NA,NA,NA,NA,NA,183,NA,NA,NA,NA,NA,184,NA,NA,NA,NA,NA,238,NA,NA,NA,0,0,236,NA,NA,NA,NA,NA,235,NA,NA,NA,NA,NA,326,NA,NA,NA
Aviation Institute of Maintenance-Dallas,NA,NA,481,NA,NA,NA,NA,NA,479,NA,NA,NA,NA,NA,539,NA,NA,NA,NA,NA,457,NA,NA,NA,0,0,359,NA,NA,NA,NA,NA,341,NA,NA,NA,NA,NA,448,NA,NA,NA
Aviation Institute of Maintenance-Houston,NA,NA,313,NA,NA,NA,NA,NA,289,NA,NA,NA,NA,NA,263,NA,NA,NA,NA,NA,208,NA,NA,NA,0,0,236,NA,NA,NA,NA,NA,251,NA,NA,NA,NA,NA,262,NA,NA,NA
Aviation Institute of Maintenance-Indianapolis,NA,NA,168,NA,NA,NA,NA,NA,132,NA,NA,NA,NA,NA,155,NA,NA,NA,NA,NA,167,NA,NA,NA,0,0,143,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,255,NA,NA,NA
Aviation Institute of Maintenance-Kansas City,NA,NA,154,NA,NA,NA,NA,NA,145,NA,NA,NA,NA,NA,161,NA,NA,NA,NA,NA,139,NA,NA,NA,NA,NA,83,NA,NA,NA,NA,NA,92,NA,NA,NA,NA,NA,191,NA,NA,NA
Aviation Institute of Maintenance-Las Vegas,NA,NA,359,NA,NA,NA,NA,NA,284,NA,NA,NA,NA,NA,256,NA,NA,NA,NA,NA,223,NA,NA,NA,NA,NA,116,NA,NA,NA,NA,NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aviation Institute of Maintenance-Manassas,NA,NA,188,NA,NA,NA,NA,NA,203,NA,NA,NA,NA,NA,163,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,105,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,207,NA,NA,NA
Aviation Institute of Maintenance-Orlando,NA,NA,295,NA,NA,NA,NA,NA,266,NA,NA,NA,NA,NA,268,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,209,NA,NA,NA,NA,NA,268,NA,NA,NA,NA,NA,204,NA,NA,NA
Aviation Institute of Maintenance-Philadelphia,NA,NA,300,NA,NA,NA,NA,NA,274,NA,NA,NA,NA,NA,306,NA,NA,NA,NA,NA,364,NA,NA,NA,NA,NA,320,NA,NA,NA,NA,NA,385,NA,NA,NA,NA,NA,378,NA,NA,NA
Aviator College of Aeronautical Science and Technology,NA,NA,317,NA,NA,NA,NA,NA,259,NA,NA,NA,NA,NA,173,NA,NA,NA,NA,NA,152,NA,NA,NA,NA,NA,176,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,119,NA,NA,NA
Avila University,89,228,929,39,59,305,83,187,1002,27,33,371,66,178,1089,43,43,339,77,183,1163,32,22,408,58,294,1055,10,22,468,39,146,1216,12,23,535,0,166,1159,0,28,555
AVTEC-Alaska's Institute of Technology,NA,NA,855,NA,NA,NA,NA,NA,967,NA,NA,NA,NA,NA,1209,NA,NA,NA,NA,NA,970,NA,NA,NA,NA,NA,889,NA,NA,NA,NA,NA,1347,NA,NA,NA,NA,NA,1022,NA,NA,NA
Award Beauty School,NA,NA,130,NA,NA,NA,NA,NA,157,NA,NA,NA,NA,NA,191,NA,NA,NA,NA,NA,238,NA,NA,NA,NA,NA,266,NA,NA,NA,0,0,170,NA,NA,NA,NA,NA,177,NA,NA,NA
Ayers Career College,NA,NA,145,NA,NA,NA,NA,NA,135,NA,NA,NA,NA,NA,191,NA,NA,NA,44,7,224,NA,NA,NA,74,3,182,NA,NA,NA,56,5,206,NA,NA,NA,0,4,215,NA,NA,NA
Azusa Pacific University,575,701,4381,1770,620,2048,203,761,4707,693,632,2930,190,858,4722,572,502,3176,162,988,4733,515,418,3159,162,902,4854,592,376,3086,278,776,5489,686,326,3200,240,811,5173,558,303,3099
B M Spurr School of Practical Nursing,NA,NA,36,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,35,NA,NA,NA,0,0,31,NA,NA,NA,0,0,36,NA,NA,NA,0,0,37,NA,NA,NA
B-Unique Beauty and Barber Academy,NA,NA,23,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Babson College,0,0,2361,3,47,946,0,25,2317,0,191,796,0,19,2264,189,0,693,0,0,2141,211,13,692,0,48,2059,188,25,729,0,20,2086,0,438,799,0,0,2015,380,0,855
Bacone College,18,124,129,NA,NA,NA,67,250,617,NA,NA,NA,60,479,451,NA,NA,NA,67,194,578,NA,NA,NA,37,159,772,NA,NA,NA,35,116,814,NA,NA,NA,86,326,628,NA,NA,NA
Bainbridge State College,NA,NA,NA,NA,NA,NA,344,646,756,NA,NA,NA,365,824,1279,NA,NA,NA,357,771,1273,NA,NA,NA,329,676,1465,NA,NA,NA,340,808,1547,NA,NA,NA,338,972,1632,NA,NA,NA
Bais Binyomin Academy,NA,NA,34,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,33,NA,NA,NA,NA,NA,55,NA,NA,NA,0,0,61,NA,NA,NA,0,0,59,NA,NA,NA,0,0,48,NA,NA,NA
Bais HaMedrash and Mesivta of Baltimore,NA,NA,80,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,60,NA,NA,NA,NA,NA,58,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,42,NA,NA,NA
Bais Medrash Elyon,NA,NA,44,NA,NA,25,NA,NA,38,NA,NA,30,NA,NA,57,NA,NA,30,NA,NA,64,NA,NA,34,NA,NA,67,NA,NA,30,NA,NA,27,NA,NA,27,NA,NA,10,NA,NA,19
Bais Medrash Mayan Hatorah,NA,NA,69,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
